oid,class
239573,NotEA
239611,NotEA
239991,EA
240912,EA
240982,EA
241417,NotEA
241743,NotEA
242180,NotEA
242555,NotEA
242742,NotEA
244567,NotEA
245141,NotEA
245517,EA
245630,NotEA
246511,NotEA
247260,NotEA
250178,NotEA
252101,NotEA
252343,NotEA
252800,NotEA
253068,NotEA
255995,NotEA
256103,NotEA
256565,NotEA
257750,NotEA
257850,NotEA
258700,EA
259654,NotEA
260273,NotEA
260292,NotEA
260992,EA
262222,EA
264846,EA
265004,NotEA
265442,EA
265594,NotEA
266050,EA
268990,NotEA
269497,NotEA
269758,NotEA
269904,NotEA
270101,NotEA
271692,NotEA
271886,NotEA
272535,EA
273824,NotEA
274209,NotEA
276650,EA
278013,NotEA
279536,NotEA
280008,NotEA
280576,EA
285580,EA
285768,NotEA
286045,NotEA
286054,NotEA
287904,NotEA
289321,NotEA
289414,NotEA
291640,EA
294592,EA
295104,NotEA
295822,NotEA
296416,NotEA
296817,NotEA
296835,EA
296856,NotEA
297297,NotEA
298212,EA
298264,NotEA
300306,NotEA
301080,NotEA
301430,NotEA
301501,NotEA
302490,EA
303544,NotEA
303739,NotEA
304298,EA
304523,NotEA
305140,EA
305467,NotEA
305495,NotEA
307192,NotEA
307200,NotEA
307782,EA
308048,EA
308591,NotEA
310448,NotEA
310700,EA
312720,NotEA
314082,NotEA
314992,EA
316135,NotEA
317480,EA
317582,NotEA
318917,EA
319428,NotEA
320105,NotEA
321434,NotEA
322969,EA
323607,EA
324128,EA
324522,EA
326032,NotEA
326358,NotEA
329251,NotEA
330053,NotEA
330121,EA
331074,NotEA
334580,NotEA
335767,EA
336058,NotEA
337155,NotEA
337244,EA
339208,NotEA
340100,NotEA
341334,EA
341611,EA
341781,NotEA
342696,EA
342932,NotEA
344631,NotEA
344854,EA
346166,NotEA
348115,NotEA
348433,NotEA
349881,NotEA
350597,NotEA
350717,EA
351157,NotEA
353028,NotEA
353047,NotEA
354846,EA
354876,NotEA
355112,NotEA
355374,EA
355811,NotEA
357097,NotEA
357115,EA
358493,NotEA
358735,NotEA
359266,NotEA
361996,EA
363370,EA
364559,NotEA
364594,NotEA
365301,NotEA
365784,NotEA
366115,EA
366394,NotEA
366753,NotEA
367819,NotEA
368211,NotEA
368244,NotEA
370020,EA
370059,EA
370840,NotEA
371739,NotEA
373840,NotEA
378602,EA
378782,EA
379065,EA
381257,NotEA
383049,EA
383204,NotEA
386241,NotEA
386675,NotEA
386762,NotEA
386924,NotEA
388490,NotEA
389348,NotEA
391067,NotEA
391290,EA
391607,EA
393294,NotEA
397212,EA
397583,EA
397716,NotEA
398385,NotEA
398850,EA
399159,EA
399261,EA
399664,NotEA
400104,NotEA
400358,NotEA
400505,EA
400823,NotEA
401323,EA
402272,EA
402531,EA
402588,NotEA
402687,NotEA
402813,EA
403083,EA
403151,EA
404236,EA
404378,NotEA
404593,NotEA
405014,EA
405018,NotEA
405980,NotEA
407058,EA
408062,EA
411254,NotEA
411316,NotEA
415402,EA
416904,EA
417698,NotEA
418066,NotEA
418593,EA
420465,NotEA
420710,EA
420864,EA
420963,EA
421076,EA
421996,EA
424047,NotEA
424920,EA
425457,NotEA
425639,EA
427863,NotEA
429151,EA
431961,NotEA
432414,NotEA
432598,EA
432618,EA
432936,NotEA
433097,NotEA
433743,NotEA
434295,EA
434544,EA
435410,NotEA
436287,NotEA
437076,EA
437611,NotEA
437943,EA
440179,NotEA
440439,EA
440585,NotEA
441133,NotEA
441231,NotEA
441570,EA
441654,NotEA
442019,EA
442101,NotEA
442456,NotEA
445162,EA
448863,EA
449040,EA
449478,EA
449543,NotEA
451192,EA
451430,EA
453607,NotEA
453834,NotEA
453848,NotEA
454351,EA
454818,EA
457034,NotEA
457766,EA
458124,NotEA
458275,NotEA
458463,EA
461051,EA
464877,EA
467939,EA
468514,EA
468731,NotEA
468889,NotEA
472106,NotEA
473015,EA
473039,EA
474182,EA
475378,EA
475496,NotEA
475629,EA
476374,EA
476489,EA
476540,EA
477220,EA
478165,EA
478311,EA
478694,EA
478718,NotEA
478813,EA
479891,EA
480609,EA
483343,EA
484383,EA
484594,NotEA
486205,NotEA
488091,EA
490342,EA
490662,EA
492231,EA
493675,EA
497330,EA
498965,EA
502475,EA
502745,NotEA
503292,NotEA
503856,EA
504317,NotEA
504784,NotEA
505036,EA
507042,EA
507672,EA
510556,EA
510712,EA
511403,EA
511751,NotEA
511860,EA
512510,EA
513140,EA
513881,EA
515215,NotEA
515778,NotEA
516103,NotEA
517318,EA
517794,NotEA
517971,EA
521030,NotEA
522534,NotEA
522895,NotEA
522994,EA
523528,NotEA
524019,EA
524210,EA
526317,EA
526869,EA
528313,EA
528494,NotEA
528528,NotEA
528833,EA
529044,EA
530591,EA
531802,EA
533036,EA
535847,EA
536027,EA
536449,EA
537188,EA
538552,NotEA
539014,EA
539980,EA
540522,EA
541301,NotEA
541473,EA
541764,EA
542390,NotEA
542724,EA
542941,EA
544366,EA
544599,EA
544654,EA
545002,EA
546363,EA
546687,EA
547808,NotEA
547844,NotEA
548841,EA
550023,NotEA
552881,EA
553127,NotEA
553278,EA
554319,NotEA
554382,NotEA
554896,NotEA
555035,EA
555249,EA
556203,NotEA
558262,EA
558928,EA
559601,NotEA
560385,NotEA
563072,NotEA
565701,NotEA
565848,EA
566352,NotEA
566699,EA
566760,EA
568087,NotEA
568659,EA
569080,EA
569230,EA
571270,EA
571403,NotEA
571494,NotEA
572450,NotEA
572674,NotEA
572776,EA
572875,EA
573359,EA
574475,NotEA
575399,EA
575673,NotEA
576195,NotEA
577381,EA
577506,EA
577575,NotEA
577638,EA
577670,EA
579774,EA
580191,NotEA
580241,EA
580389,NotEA
581122,EA
582192,EA
582652,EA
584121,NotEA
584849,NotEA
584891,EA
586101,NotEA
586198,EA
586346,NotEA
587670,NotEA
589372,EA
589627,EA
589684,NotEA
591130,NotEA
592152,NotEA
593796,EA
594584,NotEA
596103,EA
596114,EA
596364,NotEA
597177,EA
597973,NotEA
598420,EA
598566,NotEA
598812,NotEA
598885,EA
600447,EA
601290,NotEA
602127,NotEA
602272,NotEA
603134,NotEA
603521,EA
604399,NotEA
606044,EA
606607,NotEA
608159,NotEA
608814,EA
608928,NotEA
609106,NotEA
609461,EA
610233,NotEA
610542,NotEA
611289,NotEA
611683,NotEA
611783,EA
612112,EA
613085,EA
613284,NotEA
614311,NotEA
614979,EA
615608,NotEA
616811,EA
617406,NotEA
618493,EA
619378,EA
619909,EA
620697,EA
624539,EA
624755,EA
625470,EA
626188,NotEA
626206,NotEA
626499,NotEA
626660,NotEA
628496,EA
629212,NotEA
629326,NotEA
629338,NotEA
629587,EA
630175,EA
633218,EA
633548,EA
633669,EA
634162,NotEA
636371,NotEA
636794,NotEA
637347,NotEA
637498,EA
637602,EA
639239,EA
639310,NotEA
639546,NotEA
640327,NotEA
641283,NotEA
641469,NotEA
642847,NotEA
643254,NotEA
644194,EA
644338,NotEA
646030,NotEA
647958,NotEA
648201,NotEA
648227,EA
649941,NotEA
650143,EA
651332,EA
651398,NotEA
651641,EA
651735,EA
651848,NotEA
653044,EA
654191,EA
654882,EA
655245,NotEA
656158,EA
656345,EA
657351,NotEA
657460,NotEA
657796,EA
657953,EA
658440,NotEA
658826,NotEA
659670,EA
660474,EA
660981,EA
663866,NotEA
665126,NotEA
665379,NotEA
665753,EA
665873,NotEA
666800,NotEA
666948,EA
667665,EA
668938,EA
669099,EA
669221,EA
670790,NotEA
671404,EA
671657,EA
672273,EA
672418,EA
672610,EA
673684,NotEA
674011,NotEA
675185,EA
675627,NotEA
675819,NotEA
676315,EA
676997,EA
677869,EA
678138,EA
680014,NotEA
680526,NotEA
680686,NotEA
682234,NotEA
682499,EA
682929,EA
684362,EA
685488,EA
686289,NotEA
686972,NotEA
687945,EA
688332,NotEA
689568,EA
689931,EA
690043,EA
691650,NotEA
691696,EA
691870,EA
692009,EA
693781,EA
694605,EA
694703,EA
694936,EA
696049,EA
696241,NotEA
696559,EA
698777,EA
699311,EA
700572,EA
701929,EA
702078,NotEA
703048,NotEA
704937,EA
704979,NotEA
704985,EA
705353,NotEA
706276,NotEA
706484,NotEA
706856,NotEA
706923,NotEA
707968,EA
708260,EA
708576,NotEA
709739,NotEA
709962,EA
710021,EA
710284,NotEA
710751,EA
711330,NotEA
711573,EA
712112,NotEA
713074,EA
713874,EA
714367,NotEA
714536,EA
714617,EA
715055,NotEA
715836,EA
715873,EA
717167,EA
718079,EA
718747,EA
718782,NotEA
719478,NotEA
721022,EA
722974,NotEA
723515,EA
723776,EA
723987,EA
724002,EA
725217,EA
726311,EA
727003,NotEA
727706,EA
728173,EA
728175,NotEA
729628,EA
729683,NotEA
731356,NotEA
732246,NotEA
732719,NotEA
733262,NotEA
733476,EA
734013,NotEA
734297,NotEA
734396,NotEA
735472,EA
736716,NotEA
737032,EA
737565,EA
737667,NotEA
739245,EA
739932,EA
742027,EA
742358,EA
742850,NotEA
744438,EA
745244,NotEA
745985,EA
746472,EA
746875,NotEA
747005,EA
747567,EA
748020,EA
748452,NotEA
748538,NotEA
748949,EA
753083,EA
753386,EA
753784,EA
754226,EA
754519,EA
754651,NotEA
754690,NotEA
754741,NotEA
755441,NotEA
755638,EA
755887,NotEA
756537,NotEA
758185,NotEA
758373,NotEA
759159,NotEA
759916,EA
760168,EA
760406,EA
761263,NotEA
765198,EA
765993,NotEA
766801,EA
767554,NotEA
768247,EA
770415,NotEA
770639,NotEA
771881,EA
773157,EA
773874,NotEA
774583,EA
775163,EA
775875,EA
777076,EA
777366,NotEA
777595,NotEA
778251,EA
778393,EA
779480,NotEA
779599,NotEA
