oid,class
27755,RR
722,EW
16405,RRc
142014,CEP
155132,CEP
17903,DSCT
35516,DSCT
12639,EA
17014,RR
24365,RR
378,EW
161508,CEP
27375,RR
7316,SR
2412,SR
300,EW
1376,EW
11300,EA
3977,SR
487067,CEP
18258,RR
80336,RRc
24025,DSCT
319939,CEP
6924,DSCT
7361,DSCT
18324,DSCT
303,EW
5866,Mira
5083,RSCVN
48341,CEP
1308,BYDra
1080,EW
1417,EW
3941,BYDra
1761,RSCVN
2208,RR
348462,CEP
3036,RSCVN
9648,SR
7309,EA
29448,DSCT
34977,RRc
10640,EA
1166,EW
6280,SR
5543,RSCVN
1788,EA
1282,SR
40125,RRc
160973,CEP
2485,EW
4663,RR
3508,EA
2399,RSCVN
31735,DSCT
18350,CEP
5035,SR
557327,CEP
16232,RR
1923,EW
1748,RSCVN
80872,Mira
10756,SR
161035,Mira
57325,Mira
153,EW
24,RR
358,BYDra
4314,SR
5074,RSCVN
161258,Mira
4852,RSCVN
7931,SR
69,SR
3598,SR
2071,RSCVN
118192,Mira
3673,BYDra
1409,RSCVN
140719,Mira
38209,DSCT
4221,RSCVN
11821,RR
1903,EW
1033,RSCVN
2085,EA
3762,SR
35595,DSCT
1466,RSCVN
8563,EA
3284,BYDra
511793,CEP
4921,RSCVN
821,EW
34837,RRc
131840,CEP
28692,RR
257884,CEP
176814,Mira
175800,Mira
43646,RRc
60439,RRc
24131,RR
17141,DSCT
553,RR
68792,RRc
6545,RR
96887,RRc
2880,EA
59305,Mira
4379,RSCVN
297323,CEP
142137,Mira
62354,RRc
2410,SR
4494,BYDra
97247,CEP
6856,SR
21321,DSCT
5200,RSCVN
18,EW
94,EW
25054,RR
2385,RSCVN
4587,SR
36284,RRc
14626,DSCT
10940,SR
1957,SR
2903,RR
5202,SR
7564,SR
1732,EA
4114,RR
4912,RSCVN
58493,RRc
21466,DSCT
6628,EA
12329,EA
1480,RSCVN
86314,RRc
556,EW
161298,Mira
19276,DSCT
10801,EA
53740,RRc
101949,Mira
9435,SR
31207,DSCT
9797,EA
437874,CEP
13430,DSCT
1100,EA
25052,RR
354,BYDra
29877,RRc
63,EA
91628,CEP
5119,EA
19526,RRc
4993,SR
1370,EA
1021,EA
33052,DSCT
26079,DSCT
300206,CEP
10965,RR
2504,EW
5962,RR
2726,SR
1423,EA
9192,RR
172722,CEP
952,EW
4409,RSCVN
12143,EA
431080,CEP
5320,BYDra
3517,EA
631077,CEP
34505,RR
31226,RR
386716,CEP
10573,EA
5592,EA
30019,DSCT
6097,RSCVN
1891,EW
92404,Mira
1151,EW
461,BYDra
94046,RRc
1984,RSCVN
8400,EA
779,EW
20757,RRc
81398,RRc
1181,EA
3639,BYDra
27249,DSCT
2379,EW
2250,BYDra
3814,EA
17750,DSCT
164176,Mira
340079,CEP
69400,RRc
22601,DSCT
7631,DSCT
620,RSCVN
78970,Mira
27240,DSCT
1772,RR
3163,SR
26513,RR
4461,BYDra
34767,RRc
15189,CEP
3211,RSCVN
1937,BYDra
6175,SR
3448,RSCVN
2323,EW
91932,Mira
5863,SR
2115,RSCVN
13819,DSCT
18993,RRc
5806,DSCT
1892,BYDra
32299,DSCT
395096,CEP
847,SR
381,EW
1225,EW
90382,RRc
149824,Mira
3737,BYDra
12218,DSCT
1401,BYDra
1645,EW
226,EW
1637,EA
3402,EA
408306,CEP
519741,CEP
7074,RR
3205,BYDra
94603,RRc
4298,RSCVN
50910,RRc
25514,RR
22939,RRc
629,EW
1692,EW
160861,CEP
559716,CEP
2959,BYDra
164950,Mira
2455,SR
25055,RR
1093,EW
7375,DSCT
396,RSCVN
13385,RR
38705,DSCT
7731,SR
142201,CEP
34685,RR
125187,CEP
9481,EA
36155,DSCT
173665,Mira
35116,DSCT
2023,EW
1266,BYDra
71826,CEP
29672,DSCT
30678,RR
7521,EA
477,EW
160006,Mira
52043,RRc
4548,SR
2969,BYDra
13755,Mira
6841,EA
2770,RSCVN
26060,RR
5487,DSCT
1411,EA
570055,CEP
10043,Mira
20537,Mira
72766,CEP
462799,CEP
108878,Mira
583336,CEP
7907,RR
8579,EA
4613,BYDra
2680,RR
32852,RRc
3554,DSCT
71035,RRc
7232,SR
227073,CEP
3626,SR
56734,Mira
86444,Mira
70401,RRc
55117,RRc
145678,CEP
21012,RR
659,RSCVN
3651,RSCVN
22125,RRc
7388,EA
3345,BYDra
899,EA
5872,EA
30062,RR
2299,EW
4104,RSCVN
1894,SR
3879,BYDra
2005,BYDra
710,RSCVN
1954,BYDra
27381,RRc
1461,EW
1490,EW
100664,RRc
2823,RSCVN
54424,Mira
65853,RRc
1630,EW
2574,RSCVN
14233,RR
3003,RSCVN
1947,EW
72833,Mira
11036,SR
809,EW
2516,SR
1209,BYDra
2976,SR
490,RSCVN
28304,RR
448,EW
92866,Mira
29584,Mira
3356,EA
666,EW
72652,CEP
230,RRc
365,BYDra
1685,RSCVN
27316,RR
265184,CEP
3654,DSCT
524630,CEP
754,RSCVN
511,RSCVN
150930,Mira
1291,EW
16040,CEP
27074,RR
130963,Mira
161,EW
1296,EA
2045,EW
84949,RRc
8065,SR
592,DSCT
532,BYDra
4144,RSCVN
15730,RRc
8329,RRc
831,RSCVN
16338,RR
96635,Mira
9987,SR
991,EW
162556,CEP
34754,RRc
1792,EW
18220,DSCT
3507,RSCVN
33692,RR
56309,Mira
5741,RSCVN
176,BYDra
4244,RSCVN
38235,RRc
28131,RR
11137,SR
3627,BYDra
8956,SR
482,EW
7859,SR
1650,DSCT
29825,RR
19341,RR
17085,RR
2315,EW
17949,RR
39966,RRc
464516,CEP
14354,Mira
19462,RR
11443,Mira
12533,EA
134830,Mira
166436,Mira
5936,EA
85233,RRc
68860,Mira
74230,RRc
13461,RR
12845,EA
1108,BYDra
72504,Mira
1496,SR
3646,RSCVN
1187,EW
154552,Mira
11582,RRc
1848,EA
1245,RSCVN
8254,EA
4984,BYDra
9966,SR
5196,EA
28914,DSCT
10222,SR
16889,RR
11274,EA
6019,DSCT
5527,SR
91060,RRc
29401,DSCT
10536,DSCT
9748,SR
75813,Mira
13355,Mira
10902,SR
102831,Mira
590722,CEP
15536,RRc
5293,RSCVN
19566,Mira
1885,BYDra
12876,EA
456302,CEP
52831,RRc
368,EW
173431,CEP
375,EA
32355,RR
777,BYDra
390,SR
6127,SR
3458,BYDra
165931,Mira
441388,CEP
21987,RRc
3219,DSCT
27064,DSCT
107,BYDra
3565,BYDra
14543,RRc
84110,Mira
1234,DSCT
97,SR
81543,Mira
62502,CEP
469,EW
22473,RR
4719,BYDra
29375,RRc
286734,CEP
16261,CEP
118212,Mira
5427,RSCVN
5416,SR
17486,RR
3599,BYDra
366,RSCVN
577,SR
1790,EW
76336,RRc
2170,RR
5004,RSCVN
18754,DSCT
410,BYDra
112509,Mira
182223,CEP
3130,EA
3555,BYDra
2795,BYDra
69654,Mira
5168,BYDra
7390,SR
9827,SR
460,BYDra
5103,BYDra
162856,Mira
3010,RSCVN
14811,RR
70014,RRc
34017,RR
1528,EW
636,SR
22562,DSCT
28163,DSCT
810,SR
11249,SR
5410,RRc
25888,RRc
5786,EA
552938,CEP
417,BYDra
1432,SR
152644,Mira
2235,BYDra
10330,RR
21735,RR
1078,BYDra
31873,RR
34044,DSCT
32379,RR
798,EW
60409,RRc
6252,RSCVN
4741,RSCVN
1751,EW
1189,BYDra
168490,Mira
327303,CEP
357768,CEP
489313,CEP
9027,EA
2624,EA
1818,EW
2173,EA
2868,BYDra
255,BYDra
19343,RR
41666,Mira
494072,CEP
11255,RRc
1507,BYDra
6837,SR
5216,RSCVN
29732,RR
4353,BYDra
41955,CEP
1995,EW
352,RSCVN
6357,SR
164388,Mira
3530,BYDra
91129,Mira
1610,BYDra
24589,RRc
959,SR
137975,Mira
7475,SR
4757,BYDra
9387,EA
5888,RRc
11463,RR
16556,RRc
27634,DSCT
28467,DSCT
65,EW
30370,DSCT
1170,EW
11349,DSCT
143727,Mira
9030,DSCT
2873,BYDra
1900,EW
3069,DSCT
66893,Mira
7190,RR
1517,BYDra
9353,SR
2096,RSCVN
599,BYDra
90870,RRc
361502,CEP
3984,RSCVN
4501,RR
3292,RSCVN
393,EW
1206,EA
33182,RR
2360,DSCT
75070,RRc
23890,DSCT
560170,CEP
1378,SR
6665,EA
30506,RRc
30220,RR
51944,Mira
1890,DSCT
117190,Mira
11172,EA
586029,CEP
4705,EA
2469,EW
2177,RR
419367,CEP
31849,RRc
4641,RSCVN
15770,RR
79170,RRc
1987,EW
106283,RRc
3129,BYDra
29066,Mira
54916,RRc
14329,DSCT
943,SR
66232,RRc
4808,SR
108293,RRc
54648,RRc
36624,DSCT
2397,EW
474640,CEP
1368,RSCVN
527601,CEP
27846,RRc
4559,EA
177010,CEP
389926,CEP
166957,Mira
22781,RRc
1597,BYDra
18852,RR
5038,BYDra
4924,BYDra
6574,EA
133389,Mira
379,EW
835,RSCVN
5598,RSCVN
3006,DSCT
49529,RRc
10204,EA
24696,RR
15623,RRc
4680,BYDra
9180,SR
7276,SR
128933,Mira
6028,RSCVN
37533,DSCT
7600,EA
162838,CEP
167426,Mira
142744,Mira
4668,RSCVN
3586,EA
7873,RR
51497,CEP
89,RSCVN
1419,EW
1924,EW
348,BYDra
178019,CEP
3107,RSCVN
142860,CEP
89981,Mira
16275,RR
2184,EW
2111,EA
5779,SR
538749,CEP
4648,RSCVN
6368,DSCT
193,SR
561166,CEP
1629,EW
769,EW
2327,RSCVN
1882,BYDra
9033,DSCT
4374,RR
23716,RRc
511630,CEP
27760,Mira
165161,CEP
4283,RSCVN
26524,RR
3663,RSCVN
19405,Mira
318499,CEP
1571,BYDra
360598,CEP
2852,RSCVN
6109,EA
7955,SR
14803,RRc
27453,DSCT
2191,BYDra
63849,CEP
13439,DSCT
19479,RR
766,RSCVN
3172,BYDra
22282,DSCT
35602,DSCT
11926,DSCT
8653,SR
5738,EA
8379,SR
17355,RR
8941,RR
3948,RSCVN
1235,RR
630,BYDra
2286,EW
15231,DSCT
65796,CEP
171414,CEP
443,RSCVN
19639,RRc
7128,DSCT
30307,DSCT
6986,DSCT
68,EW
14114,DSCT
3603,RSCVN
45814,Mira
1199,BYDra
32758,DSCT
61,RR
65043,Mira
14810,DSCT
3836,BYDra
76391,RRc
1220,BYDra
4030,BYDra
6297,SR
24106,RR
19366,RR
1161,RSCVN
503123,CEP
28988,DSCT
26951,CEP
2306,EW
11802,EA
319980,CEP
20447,DSCT
6409,SR
751,EW
12440,EA
12925,DSCT
16684,RR
17710,CEP
508667,CEP
106440,RRc
12422,RR
21614,RR
12341,EA
6448,SR
21809,RR
79102,RRc
157168,Mira
7114,EA
1827,EW
1729,DSCT
9764,DSCT
18084,RR
102744,Mira
2254,EW
24874,RR
5012,BYDra
11286,EA
7250,EA
99249,Mira
1726,SR
29671,DSCT
4000,BYDra
296370,CEP
473423,CEP
13316,RRc
7027,SR
36748,DSCT
7131,RR
33040,DSCT
12705,EA
3469,BYDra
4563,EA
1801,EW
3560,DSCT
1717,EW
14885,RRc
2892,BYDra
25200,DSCT
18065,RR
88145,RRc
1191,RSCVN
1615,SR
24187,RRc
237,RSCVN
15094,RR
34564,DSCT
88579,RRc
8182,Mira
110702,Mira
24181,DSCT
1102,EW
5240,DSCT
113700,Mira
11152,DSCT
5807,RSCVN
151870,Mira
20127,DSCT
24080,RRc
6735,EA
4022,RSCVN
2709,RSCVN
924,BYDra
7983,SR
11240,EA
46130,RRc
3960,SR
6524,SR
54045,RRc
55574,Mira
20419,Mira
1447,EW
10466,RR
4811,BYDra
3299,DSCT
10213,EA
716,RSCVN
9942,EA
23814,RR
21330,RR
170316,CEP
27421,DSCT
1477,BYDra
408183,CEP
8250,EA
8738,RR
71491,RRc
5703,RSCVN
2730,RSCVN
16660,RR
9660,SR
6059,RSCVN
7791,DSCT
10692,SR
5173,BYDra
425584,CEP
52120,RRc
2649,EA
22393,DSCT
8392,SR
1608,EW
2482,RSCVN
29032,Mira
163186,Mira
88194,RRc
31077,DSCT
1753,EA
4594,RSCVN
2382,EW
5395,SR
76337,Mira
20746,RRc
4235,SR
38181,RRc
41806,RRc
94245,Mira
563,EW
7473,SR
2261,EA
313,RSCVN
6667,EA
31800,DSCT
793,BYDra
329777,CEP
11429,RRc
5020,RSCVN
31230,RR
78891,CEP
980,RSCVN
11616,EA
161259,Mira
2219,EW
26732,DSCT
2348,EW
1693,BYDra
12309,DSCT
154797,Mira
7549,RRc
4728,BYDra
804,EW
50933,RRc
117436,Mira
4955,RR
3857,SR
5285,EA
1803,SR
25905,RR
22954,RR
24875,RR
3394,RR
7519,RRc
3887,SR
1582,EW
112708,Mira
4500,EA
3106,SR
8407,DSCT
311559,CEP
6449,RR
16023,RR
3826,BYDra
2154,EW
76459,RRc
2266,RR
434,EW
1478,BYDra
2908,BYDra
1749,EA
3463,SR
113,SR
2768,EA
1654,EA
50312,RRc
12029,DSCT
10486,EA
174114,Mira
34473,DSCT
964,EW
6940,SR
10219,SR
3613,BYDra
14888,DSCT
1694,RSCVN
542,EW
2931,BYDra
155933,Mira
171215,Mira
93833,Mira
432748,CEP
167463,CEP
61197,RRc
543709,CEP
33497,RRc
7990,SR
6001,RSCVN
1877,EA
53437,RRc
40317,Mira
772,BYDra
2565,EA
324,EW
72,EW
6041,EA
3860,RR
51192,Mira
12734,DSCT
150753,Mira
5215,EA
49524,RRc
15407,RR
510,EW
27605,DSCT
11783,EA
22468,RRc
1816,SR
2036,BYDra
100698,CEP
582,BYDra
8488,SR
20545,RR
1248,EW
815,SR
2474,EW
5488,EA
16782,RRc
2041,EW
584743,CEP
4635,BYDra
72522,RRc
988,RSCVN
1584,RSCVN
342607,CEP
83561,RRc
2207,EW
672,BYDra
10019,EA
2927,RSCVN
806,EW
100056,Mira
30944,RRc
7966,Mira
36985,Mira
4029,RSCVN
3878,DSCT
61063,CEP
446119,CEP
19659,RR
3928,SR
3952,BYDra
192,RR
83988,RRc
25797,RR
13423,RRc
30503,Mira
3724,BYDra
258,EW
1138,SR
10076,SR
434565,CEP
3971,BYDra
1105,EW
29538,RR
78297,Mira
444,EW
8140,SR
4161,EA
7024,EA
6765,DSCT
28732,RR
242,BYDra
1708,EW
9091,RR
5129,BYDra
3726,RR
3465,RSCVN
311795,CEP
13693,RR
142847,Mira
455784,CEP
12107,EA
29224,DSCT
2395,EA
3707,BYDra
5756,RSCVN
888,RSCVN
10533,RR
11915,EA
4017,RSCVN
1050,EW
12513,EA
3471,SR
170859,Mira
291823,CEP
56801,RRc
173597,Mira
661,RSCVN
9859,EA
15133,CEP
28777,RRc
18390,DSCT
1057,RSCVN
31938,DSCT
3546,RSCVN
1336,EW
2205,BYDra
41679,RRc
133767,Mira
42806,RRc
1429,EW
68325,RRc
10948,SR
32203,DSCT
26475,RR
29319,RR
79261,RRc
161400,Mira
974,EA
23777,RRc
92474,Mira
1936,EW
277537,CEP
17938,CEP
154690,Mira
3678,RSCVN
23180,RR
20063,RRc
26208,CEP
1525,BYDra
982,EW
1742,EW
446,EW
24941,RR
910,EW
492,EA
2107,RSCVN
2017,RSCVN
85856,CEP
1960,EW
1741,EW
5053,RSCVN
12867,EA
2140,RSCVN
137009,Mira
4737,SR
5642,SR
153315,Mira
897,EW
45853,RRc
168751,CEP
8229,EA
125410,Mira
33740,DSCT
969,BYDra
2448,RRc
3202,RR
8191,RR
67334,RRc
4302,EA
12873,RR
105327,Mira
4089,RSCVN
2052,EW
679,EA
1934,EW
7151,CEP
2441,RSCVN
28184,DSCT
2278,EW
107675,RRc
4445,BYDra
1400,EA
54548,Mira
378067,CEP
15485,CEP
16697,DSCT
57573,RRc
594,BYDra
4476,RSCVN
10856,RR
2530,RSCVN
16056,RR
1085,EW
7658,SR
173418,Mira
1760,BYDra
4481,SR
2260,EA
5313,RR
5230,BYDra
1302,BYDra
15512,CEP
176860,CEP
580,EA
63539,CEP
3287,RSCVN
1,BYDra
17571,DSCT
1895,SR
3408,RR
8336,RR
32875,Mira
2987,RSCVN
40867,Mira
219,EW
1494,EW
3386,BYDra
1927,RRc
25796,RR
8735,SR
10737,EA
5301,SR
565054,CEP
4595,DSCT
31534,RR
145156,Mira
500339,CEP
6984,EA
558,SR
6535,SR
33191,RRc
148111,Mira
1489,BYDra
26098,RR
8014,EA
165839,Mira
627,BYDra
57579,Mira
6467,SR
1913,EW
21220,Mira
97271,CEP
74204,CEP
7045,DSCT
334698,CEP
6121,SR
7920,Mira
3983,BYDra
10111,SR
829,EW
50954,RRc
9733,SR
180,RSCVN
7004,EA
5140,BYDra
8673,SR
97782,CEP
6711,SR
6310,RSCVN
30908,RR
625,BYDra
1389,EW
16011,RR
2459,BYDra
91974,CEP
399673,CEP
166510,Mira
351178,CEP
186,EA
50018,RRc
13181,RR
99562,CEP
35410,DSCT
305891,CEP
573,EA
25168,RR
4520,DSCT
1778,SR
32271,DSCT
404,EW
605,BYDra
268293,CEP
1641,BYDra
4939,SR
46222,RRc
28182,RR
4696,RSCVN
728,EW
3426,BYDra
100063,Mira
4431,RR
2047,RSCVN
577014,CEP
386086,CEP
69856,RRc
31185,RRc
10085,EA
2775,BYDra
15584,RR
5995,EA
8175,DSCT
3300,RSCVN
12855,EA
2046,EW
20064,DSCT
2438,EW
15394,RR
158204,Mira
2778,BYDra
30432,Mira
32650,RR
13348,RRc
11731,RR
4675,SR
30950,RR
3139,BYDra
3648,BYDra
1444,EW
4528,RSCVN
20964,Mira
24147,CEP
12612,EA
19863,DSCT
2212,BYDra
2318,BYDra
687,EW
581825,CEP
21389,RR
4625,BYDra
6195,EA
70593,Mira
6772,RR
1526,BYDra
2979,SR
1730,EW
3014,RR
18475,DSCT
2634,RSCVN
93964,RRc
5197,BYDra
220,EW
4637,RR
24887,RRc
1590,EA
7924,SR
5213,BYDra
1144,RSCVN
4524,RSCVN
1351,EW
65352,Mira
23531,RR
29090,RR
24619,DSCT
454724,CEP
658,SR
172085,Mira
5319,BYDra
121933,Mira
17604,RRc
4226,RSCVN
2144,EW
93975,RRc
8507,EA
21163,DSCT
2010,EW
327919,CEP
782,EW
17693,DSCT
3294,BYDra
3141,BYDra
6746,EA
18541,DSCT
402,RSCVN
146898,CEP
28687,DSCT
2211,BYDra
8504,EA
4141,BYDra
6066,EA
1561,EA
104311,Mira
5553,DSCT
20706,DSCT
7795,DSCT
635,SR
85088,Mira
10746,SR
17765,DSCT
8224,EA
3186,RSCVN
85068,Mira
5397,DSCT
17074,RR
762,BYDra
19661,RR
31881,DSCT
5505,RSCVN
11283,EA
6341,RSCVN
2378,BYDra
5557,SR
5159,BYDra
12172,EA
27354,RRc
5566,SR
27660,DSCT
338,RSCVN
123,EA
59172,RRc
9846,EA
1056,SR
4828,BYDra
2221,EA
17064,RRc
21971,RRc
8949,EA
3909,RRc
7978,SR
10145,EA
174,RSCVN
145640,Mira
26466,Mira
7629,SR
1361,SR
1999,EW
497212,CEP
172137,Mira
7225,SR
10054,RR
68873,RRc
10700,EA
2531,RSCVN
8345,SR
20293,DSCT
486560,CEP
32645,RR
319995,CEP
6234,RSCVN
31903,RR
2420,EW
129628,Mira
42730,Mira
30917,DSCT
23915,DSCT
30386,DSCT
30535,RR
13655,RRc
1297,RR
2251,BYDra
4306,RSCVN
75376,RRc
2296,BYDra
7962,SR
994,BYDra
2739,SR
74490,RRc
361648,CEP
425690,CEP
12185,EA
603333,CEP
7520,EA
1345,BYDra
155774,Mira
10175,DSCT
67315,Mira
357,BYDra
9129,SR
169991,Mira
1592,EA
8218,RR
1759,SR
5920,RSCVN
243,EA
2349,EW
3479,SR
25400,DSCT
3091,SR
11122,EA
422911,CEP
40878,RRc
570595,CEP
35241,DSCT
123658,Mira
1247,BYDra
30895,RR
1529,EW
5993,SR
1780,RSCVN
5770,RSCVN
9306,RR
6575,SR
985,RSCVN
22189,CEP
455437,CEP
77974,RRc
4708,EA
27747,RRc
3693,SR
433,BYDra
1146,RSCVN
3981,RSCVN
9545,EA
1710,RSCVN
180711,CEP
1332,EW
5877,SR
26163,CEP
10427,DSCT
1737,EW
32110,RRc
18239,RRc
27948,RRc
5696,SR
22245,RR
698,RSCVN
9724,SR
4426,BYDra
525,BYDra
1539,BYDra
65403,CEP
25691,DSCT
5238,BYDra
1993,EW
1866,Mira
18836,DSCT
7772,EA
25006,DSCT
481,EW
1683,EW
33361,RR
2150,BYDra
2285,EW
12763,EA
1379,EW
8668,SR
448387,CEP
581735,CEP
153322,Mira
40901,Mira
1268,RSCVN
8312,Mira
10463,EA
4928,SR
464497,CEP
509935,CEP
9787,SR
31965,DSCT
144035,Mira
6298,DSCT
58172,RRc
6777,EA
16856,DSCT
7289,SR
21623,DSCT
30391,DSCT
706,EW
11077,SR
42484,RRc
155,BYDra
10437,DSCT
475690,CEP
3390,RSCVN
10763,EA
87,SR
4347,EA
2456,EW
2732,BYDra
1589,RSCVN
8920,Mira
5746,RR
28023,RR
134260,Mira
432015,CEP
5673,RR
3852,BYDra
92928,RRc
18133,RR
1385,EW
19747,DSCT
4242,RSCVN
1750,DSCT
450,EW
5625,EA
21673,RR
4783,EA
43766,Mira
28507,DSCT
185,RSCVN
28584,RR
10186,SR
85604,Mira
1548,EA
11923,EA
1430,BYDra
155770,Mira
177,BYDra
5945,EA
1549,EW
6057,RSCVN
174121,CEP
95725,Mira
33476,RR
21935,RR
2134,EW
152519,Mira
8117,SR
2180,EW
976,EA
20739,RRc
12711,EA
98298,Mira
12295,RR
29757,RR
175276,Mira
5329,SR
24554,DSCT
163,EW
11599,EA
48859,CEP
86311,Mira
290,EW
828,RSCVN
277166,CEP
544151,CEP
273799,CEP
40242,RRc
4356,RSCVN
2484,EW
1174,DSCT
10917,EA
2077,EW
54,RR
5253,BYDra
7793,EA
4222,EA
141504,Mira
13796,DSCT
10548,EA
1642,EW
776,SR
51117,RRc
3370,RSCVN
12144,EA
18478,DSCT
4079,RSCVN
22956,DSCT
102018,Mira
23517,Mira
35198,DSCT
138200,CEP
60274,RRc
1183,Mira
1973,EW
87358,CEP
619,EW
700,EW
145762,Mira
11615,EA
148,EA
4581,BYDra
9359,SR
160175,CEP
610924,CEP
5177,EA
3062,SR
30134,RRc
1121,EW
75243,Mira
37074,RRc
420561,CEP
98,EA
2445,RSCVN
38,BYDra
4402,SR
165150,Mira
1261,RSCVN
11722,RR
2053,EW
58995,Mira
54316,Mira
32793,RRc
79654,CEP
2164,RSCVN
5864,SR
389548,CEP
169655,Mira
2826,BYDra
3335,RSCVN
386509,CEP
1249,RSCVN
4217,BYDra
133144,Mira
7007,EA
2236,EA
2165,BYDra
26712,RR
483,EW
5724,RR
84417,RRc
1384,BYDra
3434,BYDra
26995,RRc
123891,CEP
3353,BYDra
25995,RR
9043,DSCT
1115,EW
137059,Mira
29165,DSCT
17969,DSCT
38689,RRc
145,BYDra
11849,RR
3481,BYDra
40869,RRc
5167,EA
860,SR
63590,Mira
80376,RRc
1856,SR
12117,RR
30125,RR
4795,SR
116803,CEP
2259,EW
144622,Mira
132025,CEP
168135,Mira
1436,DSCT
8070,EA
158619,CEP
842,RSCVN
1564,RSCVN
140052,CEP
1893,BYDra
10331,EA
3196,SR
5461,SR
2781,SR
9684,DSCT
9021,SR
229,EA
175671,CEP
33474,RR
67830,RRc
12780,Mira
166964,Mira
1330,EW
2564,RRc
5266,SR
19955,RR
10262,RR
84164,RRc
645,EW
3075,BYDra
833,BYDra
104813,RRc
13856,RR
33054,RR
536,EW
11217,SR
40,EW
3523,RSCVN
8462,EA
3794,SR
5155,EA
655,EW
476,EW
607465,CEP
168945,CEP
86528,Mira
5263,DSCT
4094,BYDra
78958,Mira
3100,EA
9909,SR
29038,Mira
18740,RRc
18516,RR
549103,CEP
3236,RR
984,RSCVN
2168,EW
789,BYDra
31547,RR
10274,EA
182513,CEP
167668,Mira
1337,RSCVN
296,EW
10612,SR
10490,EA
656,EA
749,RR
24900,DSCT
24402,RRc
2947,Mira
4344,BYDra
3918,RSCVN
11417,DSCT
498727,CEP
4474,BYDra
2965,BYDra
5523,RSCVN
22517,RR
63395,Mira
935,RSCVN
2328,BYDra
1820,EW
3672,SR
24036,RR
24513,RRc
40133,Mira
29839,RR
5753,EA
4638,BYDra
5547,RSCVN
4898,EA
367640,CEP
2507,EW
1774,RSCVN
26061,RR
28,EW
8841,RR
205,EA
8429,EA
1190,EW
36023,DSCT
